hit_distance_sc,launch_speed,launch_angle,effective_speed,pitch_name
226,94.4,57,96.9,4-Seam Fastball
20,84.9,-3,96.1,4-Seam Fastball
329,101.2,19,95.8,4-Seam Fastball
197,61.8,36,96.4,Sinker
22,102.1,-3,97.7,4-Seam Fastball
3,99,-25,96.4,Cutter
290,87,23,95.5,4-Seam Fastball
383,96.8,37,95.9,4-Seam Fastball
297,106.6,19,94.9,4-Seam Fastball
359,98.1,38,94.6,4-Seam Fastball
103,109.4,4,96.3,4-Seam Fastball
258,80.6,44,96.5,4-Seam Fastball
33,107.8,-2,96.5,Sinker
151,102.6,7,95.2,4-Seam Fastball
130,50.2,39,96.1,4-Seam Fastball
341,96.3,33,96,4-Seam Fastball
4,84.8,-24,96.8,4-Seam Fastball
5,82.8,-35,96.1,4-Seam Fastball
204,104.3,11,96.6,Sinker
6,94.8,-24,96,4-Seam Fastball
25,99.4,-3,96,4-Seam Fastball
123,79.2,10,95.8,Sinker
4,94.9,-25,96,Sinker
407,108.6,30,96.2,4-Seam Fastball
339,98.6,20,96.3,4-Seam Fastball
97,99,4,96.4,4-Seam Fastball
11,111.1,-15,95.7,Sinker
8,95.5,-15,95.5,4-Seam Fastball
346,96.8,30,95.1,4-Seam Fastball
7,101.8,-13,95.7,4-Seam Fastball
167,86.3,12,95,4-Seam Fastball
171,76.5,18,95.7,4-Seam Fastball
336,94.3,37,94.6,Sinker
281,92.6,18,96.8,4-Seam Fastball
200,100.1,11,96.1,4-Seam Fastball
11,95.6,-6,95.8,4-Seam Fastball
15,63,-7,95.7,4-Seam Fastball
326,85.6,30,95.7,4-Seam Fastball
393,102.9,27,95.9,4-Seam Fastball
84,81.4,77,95.8,4-Seam Fastball
352,102.2,23,96.4,4-Seam Fastball
203,93.7,60,96.6,4-Seam Fastball
99,96.1,4,95.7,4-Seam Fastball
4,83.4,-29,97.3,4-Seam Fastball
5,103.6,-25,95.3,4-Seam Fastball
29,107.6,-2,96.1,4-Seam Fastball
4,96.5,-28,96,4-Seam Fastball
3,82.9,-40,96,Sinker
99,61.7,9,97.4,Sinker
5,101.1,-19,96.4,4-Seam Fastball
251,75.8,43,96.7,4-Seam Fastball
363,99.4,37,95.9,4-Seam Fastball
252,104.9,14,96.4,Sinker
251,114.1,10,97.2,Sinker
2,54.2,-46,96.6,4-Seam Fastball
275,94,16,95.7,Sinker
8,79.7,-17,97.3,Sinker
7,83,-15,97.8,4-Seam Fastball
234,83,20,97.5,4-Seam Fastball
328,104.4,17,96.7,4-Seam Fastball
4,76.4,-25,97.2,4-Seam Fastball
42,64.6,2,95.5,4-Seam Fastball
164,58,47,95.3,Sinker
26,71.5,81,96.1,Sinker
243,94.3,57,95.7,4-Seam Fastball
114,107.9,5,96.8,Sinker
120,108,6,96.3,Cutter
5,97.2,-22,96.5,4-Seam Fastball
279,80.1,28,95.5,4-Seam Fastball
190,88.7,11,95.6,4-Seam Fastball
166,90.4,64,95.5,4-Seam Fastball
263,76.1,25,96.1,4-Seam Fastball
93,40.7,51,94.3,Sinker
413,102.9,35,96,4-Seam Fastball
6,49.5,-23,96.1,4-Seam Fastball
379,101.5,31,95.8,4-Seam Fastball
4,88.2,-30,95.7,4-Seam Fastball
292,100.8,49,94.5,4-Seam Fastball
238,97.4,13,95.4,4-Seam Fastball
2,78.4,-52,95.9,4-Seam Fastball
293,89.6,25,95.6,Sinker
108,100.9,6,95.9,4-Seam Fastball
335,99.7,16,96.2,4-Seam Fastball
11,90.8,-14,95.4,4-Seam Fastball
14,99.3,-11,96.3,4-Seam Fastball
148,94.6,7,95.4,4-Seam Fastball
277,104.4,12,96,4-Seam Fastball
107,103.2,5,94.8,Sinker
15,92.5,-10,95.2,4-Seam Fastball
335,97,23,94,4-Seam Fastball
11,81.5,-10,94.1,Sinker
373,95.5,30,95.9,4-Seam Fastball
2,93,-37,95.6,4-Seam Fastball
418,104.8,31,95.7,4-Seam Fastball
363,99.7,38,95,4-Seam Fastball
351,94.7,41,94.8,Sinker
378,108.1,16,97.1,4-Seam Fastball
217,68.4,31,96.4,4-Seam Fastball
16,94.1,-10,96,4-Seam Fastball
215,102.8,11,96,Sinker
9,105.5,-11,95.6,4-Seam Fastball
3,98.3,-38,96.1,4-Seam Fastball
352,100.9,25,95.7,4-Seam Fastball
22,108.2,-5,95.6,4-Seam Fastball
391,101.3,29,94.2,Sinker
127,87.3,7,95.7,4-Seam Fastball
78,48.1,14,95.5,4-Seam Fastball
305,85.5,26,97.6,4-Seam Fastball
4,100.9,-28,96.2,Sinker
154,104.5,9,96.2,4-Seam Fastball
395,104.2,27,96.1,4-Seam Fastball
214,79,51,94.5,4-Seam Fastball
228,67.1,33,96.4,Sinker
306,86.9,44,96,4-Seam Fastball
124,83.2,9,94.7,4-Seam Fastball
413,108.6,32,95.4,4-Seam Fastball
376,100.5,23,95,Sinker
57,107.5,0,97,4-Seam Fastball
284,77.7,30,96.7,Cutter
302,93.4,48,95.9,4-Seam Fastball
384,101.8,23,95.3,4-Seam Fastball
109,67.6,69,96.1,4-Seam Fastball
3,92.6,-27,97.6,4-Seam Fastball
198,69.2,22,95.7,4-Seam Fastball
395,98.8,34,95.6,4-Seam Fastball
310,101.5,14,95.8,4-Seam Fastball
,,,96,Sinker
299,83.7,33,95.5,4-Seam Fastball
159,57.5,25,95.7,4-Seam Fastball
3,75.1,-39,96.4,4-Seam Fastball
277,82.6,37,95.1,4-Seam Fastball
274,92,50,96.5,4-Seam Fastball
34,108.3,-1,95.2,4-Seam Fastball
218,81.1,51,96.3,4-Seam Fastball
363,94.7,36,95.2,4-Seam Fastball
202,97.6,13,94.8,4-Seam Fastball
443,106.4,27,95.7,Sinker
38,102.7,-3,96.8,4-Seam Fastball
292,87.6,21,95.6,4-Seam Fastball
1,89,-55,95.4,Sinker
209,68.9,25,95.9,4-Seam Fastball
172,61.5,25,96.7,4-Seam Fastball
13,98.3,-10,96.5,4-Seam Fastball
309,91.1,39,95.1,4-Seam Fastball
171,96.6,10,95.3,4-Seam Fastball
6,98.5,-19,95.7,4-Seam Fastball
409,102.4,34,95,4-Seam Fastball
307,105.6,14,96.4,4-Seam Fastball
286,85.6,38,94.8,4-Seam Fastball
127,89.2,69,95.9,4-Seam Fastball
320,88.6,25,96.6,4-Seam Fastball
251,79.7,21,95.7,Sinker
307,83.4,28,96.2,Sinker
24,90.4,-4,95.1,Sinker
193,104.7,9,95.2,4-Seam Fastball
340,95.1,26,95.8,4-Seam Fastball
5,106.3,-29,95.7,4-Seam Fastball
372,101.2,23,96.2,Sinker
314,89.1,25,95.9,4-Seam Fastball
303,89.4,26,96.4,4-Seam Fastball
311,88.5,41,95.6,4-Seam Fastball
360,102,20,95.1,4-Seam Fastball
216,65.7,31,93.6,Sinker
248,105.5,14,96,Cutter
226,82.1,54,96.1,4-Seam Fastball
287,99.1,54,96.9,4-Seam Fastball
383,106.3,20,95.2,Sinker
257,78.5,24,97,4-Seam Fastball
223,73.8,47,95.6,Cutter
424,106.7,21,93.7,4-Seam Fastball
173,65.9,58,94.3,Sinker
1,68.4,-68,95.4,Sinker
412,109.7,19,95.7,4-Seam Fastball
334,94.1,41,94.2,4-Seam Fastball
82,61.9,71,95.3,4-Seam Fastball
207,78.2,16,96,4-Seam Fastball
16,81.8,-6,95.7,4-Seam Fastball
337,97,45,95.7,4-Seam Fastball
383,101.5,31,95.5,4-Seam Fastball
345,97.6,40,95.7,Sinker
379,102,24,96.2,4-Seam Fastball
314,100.5,43,95,4-Seam Fastball
172,76.4,61,94.2,4-Seam Fastball
23,75.9,-6,93.8,Sinker
317,97.4,41,95.5,4-Seam Fastball
251,106.1,11,95.4,Sinker
303,92.4,24,95.7,Sinker
234,98.3,18,95.1,4-Seam Fastball
365,96.1,28,94.3,4-Seam Fastball
220,80.1,52,94.9,4-Seam Fastball
423,105.8,28,96.4,4-Seam Fastball
274,82,43,94.7,4-Seam Fastball
1,75.8,-60,96.3,4-Seam Fastball
127,48.3,35,94.9,4-Seam Fastball
3,84.3,-35,95,Sinker
123,47.7,41,95.3,Sinker
34,96.9,-1,95.6,4-Seam Fastball
216,66.3,39,95.3,Sinker
236,95.5,56,96.7,4-Seam Fastball
0,48.2,-78,94.3,Sinker
202,93.5,10,96.1,4-Seam Fastball
87,80.2,73,93.9,Sinker
11,103.1,-11,95,4-Seam Fastball
2,80.5,-43,95.4,Sinker
198,93.3,62,95.8,Sinker
24,107.1,-3,95.4,Sinker
273,91.8,17,94,4-Seam Fastball
314,82.8,38,96,4-Seam Fastball
245,93.7,16,95.7,4-Seam Fastball
115,55.4,18,94.8,4-Seam Fastball
359,94.4,32,94.3,4-Seam Fastball
8,98.9,-20,96.7,4-Seam Fastball
52,106.5,-1,96,4-Seam Fastball
166,101.8,10,93.8,Sinker
460,112,23,95.9,4-Seam Fastball
13,101.1,-9,95.2,Sinker
336,88.2,25,96.6,4-Seam Fastball
230,75,45,94.7,4-Seam Fastball
412,105.1,37,93.9,4-Seam Fastball
181,76.3,61,94.9,Sinker
415,104.2,24,95.4,4-Seam Fastball
282,92.9,18,96.1,Cutter
43,79.4,79,95.9,4-Seam Fastball
6,86.9,-22,96.5,Sinker
212,67.8,29,97,4-Seam Fastball
7,78,-10,95.6,4-Seam Fastball
71,101.3,1,96.9,4-Seam Fastball
11,102.8,-14,97.1,4-Seam Fastball
198,104.3,11,94.9,4-Seam Fastball
337,90.6,27,96.2,4-Seam Fastball
202,68.1,46,97.1,Sinker
2,84.4,-50,95.8,4-Seam Fastball
331,97.9,42,94.7,Sinker
32,95.1,-2,95.2,4-Seam Fastball
114,54.8,61,95.2,Sinker
347,103.7,17,96.3,4-Seam Fastball
201,73.8,53,94,4-Seam Fastball
89,98.9,4,94.7,4-Seam Fastball
143,67.3,14,95.1,4-Seam Fastball
397,102.6,28,94.6,4-Seam Fastball
21,66.6,80,94.4,Sinker
193,85.1,13,93.6,Sinker
15,103.9,-10,96,4-Seam Fastball
31,104.7,-2,95.1,Sinker
190,62.3,40,93.8,4-Seam Fastball
309,100.4,48,94.9,4-Seam Fastball
279,106.9,16,96.3,4-Seam Fastball
321,103.9,19,94.9,4-Seam Fastball
117,77.7,7,95.4,Sinker
399,104.7,37,95.8,4-Seam Fastball
11,84.4,-12,95.4,4-Seam Fastball
211,84.9,14,95.7,4-Seam Fastball
151,103.3,6,95.1,Sinker
200,95.4,11,95.2,Sinker
158,89.5,65,95.3,Sinker
308,91.8,29,95.5,4-Seam Fastball
11,90.9,-11,96.3,4-Seam Fastball
298,82.9,28,94.9,Sinker
4,82.8,-28,95,4-Seam Fastball
389,102.5,24,95,4-Seam Fastball
139,94.8,9,94.8,4-Seam Fastball
103,95.7,4,95.2,4-Seam Fastball
14,103,-10,95.3,4-Seam Fastball
100,104.4,4,93.4,Sinker
304,103.3,15,95.4,4-Seam Fastball
456,114.3,24,94.8,4-Seam Fastball
25,107.4,-3,95.6,Sinker
47,102.8,-1,94.9,4-Seam Fastball
314,89.3,36,96,4-Seam Fastball
255,77.6,33,95.4,4-Seam Fastball
148,80.2,13,95.4,4-Seam Fastball
56,76,79,94.9,4-Seam Fastball
351,95.3,28,95,4-Seam Fastball
4,59.6,-33,95.3,Sinker
318,99.1,19,94.8,4-Seam Fastball
38,90,-1,95.1,Sinker
7,65.4,-20,94.6,Sinker
297,108.8,15,94.4,4-Seam Fastball
3,82,-33,94.7,4-Seam Fastball
123,87.5,8,95.4,4-Seam Fastball
255,105,14,95.3,4-Seam Fastball
95,92.1,5,96.1,4-Seam Fastball
268,85.8,46,95.8,4-Seam Fastball
354,94,26,94.8,Sinker
266,83,43,95,4-Seam Fastball
283,86.2,28,95.8,Sinker
96,79.9,71,96.3,Cutter
345,90.9,30,93.7,4-Seam Fastball
2,75.8,-47,95.8,Sinker
312,84.1,28,96.3,4-Seam Fastball
29,79.4,-2,95.5,4-Seam Fastball
182,93.7,63,95.1,4-Seam Fastball
18,94.7,-6,94.6,4-Seam Fastball
301,84.1,30,96,4-Seam Fastball
186,93.1,11,95.8,4-Seam Fastball
394,104.7,26,95.3,Sinker
263,98.5,54,95.6,4-Seam Fastball
360,96.7,31,95.6,4-Seam Fastball
262,82.1,22,95.8,Sinker
342,102.5,19,95.3,4-Seam Fastball
79,76,6,95,Sinker
