pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,pitch_name
FF,5/9/2021,97.9,-0.4,6.8,"Segura, Jean",field_out,hit_into_play,fly_ball,293,82.9,31,98.1,2132,6.2,4-Seam Fastball
FF,6/16/2021,97.9,-1.51,5.8,"Freeman, Freddie",home_run,hit_into_play,fly_ball,413,105.3,25,98.6,2287,6.5,4-Seam Fastball
SI,8/24/2021,97.8,-1.8,5.58,"Judge, Aaron",single,hit_into_play,line_drive,276,110.3,11,97.9,2033,6.3,Sinker
FF,7/2/2021,97.8,1.7,5.63,"Sánchez, Jesús",single,hit_into_play,ground_ball,10,81.6,-15,97.9,2367,6.3,4-Seam Fastball
FF,10/1/2021,97.8,-1.05,5.79,"Rosario, Eddie",double,hit_into_play,fly_ball,240,70.8,39,99.5,2450,7,4-Seam Fastball
FF,5/17/2021,97.8,-1.43,6.16,"Freeman, Freddie",field_out,hit_into_play,fly_ball,371,98.9,30,97.7,2381,6,4-Seam Fastball
SI,4/12/2021,97.8,-2.31,5.98,"Acuña Jr., Ronald",triple,hit_into_play,line_drive,228,94.6,15,97.4,2426,6,Sinker
FF,9/12/2021,97.7,-1.54,6.16,"Rosario, Eddie",home_run,hit_into_play,fly_ball,417,105.5,28,98.8,2299,6.9,4-Seam Fastball
FF,5/9/2021,97.7,-0.46,6.78,"Herrera, Odúbel",field_out,hit_into_play,line_drive,322,99.6,17,97.8,2161,6,4-Seam Fastball
FF,6/5/2021,97.7,2.22,5.49,"Pollock, AJ",single,hit_into_play,fly_ball,244,71.2,29,97.8,2270,6.3,4-Seam Fastball
SI,4/29/2021,97.6,-1.6,6.26,"Báez, Javier",field_out,hit_into_play,fly_ball,293,87.1,30,97.1,2489,5.9,Sinker
FF,4/12/2021,97.6,-0.9,6.81,"Duvall, Adam",home_run,hit_into_play,fly_ball,369,105.2,27,96.5,2205,5.9,4-Seam Fastball
FF,9/15/2021,97.6,-0.49,6.79,"Story, Trevor",single,hit_into_play,line_drive,171,103.2,7,97.3,2144,6.2,4-Seam Fastball
FF,9/9/2021,97.6,1.94,6.18,"Hernandez, Yadiel",field_out,hit_into_play,line_drive,339,101.2,21,97.7,2403,6.4,4-Seam Fastball
FF,9/9/2021,97.6,-0.64,6.53,"Ruiz, Keibert",field_out,hit_into_play,ground_ball,8,75.3,-12,97.6,2152,6.3,4-Seam Fastball
FF,6/15/2021,97.6,-1.75,5.82,"Swanson, Dansby",field_out,hit_into_play,ground_ball,4,73.6,-21,98,2009,6.6,4-Seam Fastball
FF,9/30/2021,97.6,1.79,5.61,"Torreyes, Ronald",field_out,hit_into_play,ground_ball,76,91.5,4,97.3,2451,6.3,4-Seam Fastball
FF,4/13/2021,97.6,-2.62,6.34,"Inciarte, Ender",field_out,hit_into_play,line_drive,340,95.6,20,97.8,2304,6.5,4-Seam Fastball
FF,9/28/2021,97.6,-1.59,5.56,"Albies, Ozzie",field_out,hit_into_play,ground_ball,30,82.9,-1,99.6,2465,7.4,4-Seam Fastball
FF,9/14/2021,97.6,-0.72,6.58,"Rosario, Eddie",field_out,hit_into_play,ground_ball,2,77.4,-48,96.1,2522,5.5,4-Seam Fastball
FF,8/11/2021,97.5,-0.54,5.99,"Duvall, Adam",field_out,hit_into_play,fly_ball,209,96.1,59,97.9,2554,6.7,4-Seam Fastball
SI,9/29/2021,97.5,-2.01,6.07,"Soler, Jorge",field_out,hit_into_play,ground_ball,21,75.8,-7,97.9,2018,6.5,Sinker
FF,4/12/2021,97.5,-2.36,6.14,"Ozuna, Marcell",single,hit_into_play,line_drive,259,107.4,13,97.2,2257,6.2,4-Seam Fastball
FF,9/10/2021,97.5,1.98,6.01,"Freeman, Freddie",double,hit_into_play,fly_ball,364,104.4,25,97.7,2464,6.6,4-Seam Fastball
FF,6/2/2021,97.5,-2.81,5.56,"Albies, Ozzie",double,hit_into_play,fly_ball,379,104.3,23,97.7,2274,6.2,4-Seam Fastball
FF,4/28/2021,97.5,-0.37,6.72,"Marisnick, Jake",triple,hit_into_play,line_drive,287,105.2,12,98,2231,6.5,4-Seam Fastball
FF,4/29/2021,97.5,-0.8,6.51,"Albies, Ozzie",single,hit_into_play,ground_ball,55,97.4,1,98.9,2474,6.8,4-Seam Fastball
FF,6/29/2021,97.5,-1.97,5.67,"Conforto, Michael",field_out,hit_into_play,ground_ball,11,97,-11,97.4,2198,6.1,4-Seam Fastball
